TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
38343,"1905 E Main St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,239900,5,2.5,2529
38343,"3009 Laurel St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,159000,3,1.5,1459
38343,"508 McLin St Ext, Humboldt, TN 38343","Humboldt, TN 38343",Pending,187800,4,2.5,1702
38343,"9016 Highway 152W, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,350000,4,2,2440
38343,"247 Fairview Dr, Humboldt, TN 38343","Humboldt, TN 38343",Pending,169900,3,2,1431
38343,"2802 Pritchard Ln, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,395000,4,3,3155
38343,"295 State Route 186 N, Humboldt, TN 38343","Humboldt, TN 38343",Pending,239900,4,2,1806
38343,"1306 Osborne St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,89500,4,2,3002
38343,"82 Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4000,,,
38343,"124 Calhoun St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4000,,,
38343,"N Central Ave, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,99900,,,
38343,"120 Calhoun St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4000,,,
38343,"84 Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4000,,,
38343,"2425 St Mary Dr, Humboldt, TN 38343","Humboldt, TN 38343",Pending,129900,3,2,1671
38343,"3977 Greenview Cv, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,459900,4,3.5,3539
38343,"2310 E Main St, Humboldt, TN 38343","Humboldt, TN 38343",Pending,325000,4,3,3358
38343,"1521 Woodhaven St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,225000,3,1.5,2522
38343,"526 S Highway 186, Humboldt, TN 38343","Humboldt, TN 38343",Pending,325000,3,2.5,3153
38343,"2815 Tinsley Rd, Humboldt, TN 38343","Humboldt, TN 38343",Pending,35000,,,
38343,"917 N 12th St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,49900,2,1,1080
38343,"827 Mary Key Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,644000,5,3.5,4700
38343,"2803 Pritchard Ln, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,395000,5,3.5,3081
38343,"1837 Salem Rd, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,149900,2,1,888
38343,"709 N 16th Ave, Humboldt, TN 38343","Humboldt, TN 38343",Pending,104900,4,2,1540
38343,"3112 Doe Trail Cv, Humboldt, TN 38343","Humboldt, TN 38343",Pending,250000,4,2,1619
38343,"112 Main St S, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,129900,2,2,1632
38343,"1619 Vine St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,59900,3,1,1816
38343,"1277 Woodhaven Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,279900,3,2,1700
38343,"2818 Ward Dr, Humboldt, TN 38343","Humboldt, TN 38343",Pending,224900,4,1.5,2480
38343,"242 Woodland Dr, Humboldt, TN 38343","Humboldt, TN 38343",Pending,189000,3,2,2008
38343,"80 Olivewood Cv, Three Way, TN 38343","Three Way, TN 38343",Pending,269900,4,2,1636
38343,"2122 Hawks Loop, Humboldt, TN 38343","Humboldt, TN 38343",Pending,45000,3,1,1000
38343,"119 S Main St, Humboldt, TN 38343","Humboldt, TN 38343",Pending,189900,3,2,1462
38343,"2810 Pritchard Ln, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,395000,4,3.5,3553
38343,"13 Forked Oak Ln, Humboldt, TN 38343","Humboldt, TN 38343",Pending,350000,4,3.5,3568
38343,"217 St, Humboldt, TN 38343","Humboldt, TN 38343",Pending,89900,3,1,1080
38343,"117 Garden Gate, Humboldt, TN 38343","Humboldt, TN 38343",Pending,245000,3,2,1350
38343,"508 N 14th Ave, Humboldt, TN 38343","Humboldt, TN 38343",Pending,68000,2,1,944
38343,"2001 Elliott St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,135000,3,1,1006
38343,"615 N 21st St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,11500,,,
38343,"505 Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,3000,,,
38343,"1675 Barker St, Humboldt, TN 38343","Humboldt, TN 38343",Pending,259900,4,2,2064
38343,"Woodgate Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,34000,,,
38343,"291 Jim Jackson Rd, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,60000,,,
38343,"2846 Chere Carol Rd, Humboldt, TN 38343","Humboldt, TN 38343",Pending,329000,3,2,1800
38343,"215 Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4500,,,
38343,"105 Garden Gate Dr, Humboldt, TN 38343","Humboldt, TN 38343",Pending,225000,3,2,1250
38343,"531 Westview Cv, Humboldt, TN 38343","Humboldt, TN 38343",Pending,55000,3,1,950
38343,"Highway 45W Bypass/Hudson St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,75000,,,
38343,"168 Saddle Tree Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,20000,,,
38343,"Highway 152, Crockett County, TN 38343","Crockett County, TN 38343",For Sale,790000,,,
38343,"00B Davenport Rd, Medina, TN 38343","Medina, TN 38343",For Sale,132550,,,
38343,"Etheridge St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,6900,,,
38343,"Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,10000,,,
38343,"540 Westside Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,10000,,,
38343,"176 Saddle Tree Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,22500,,,
38343,"85 Olivewood Cv, Humboldt, TN 38343","Humboldt, TN 38343",Pending,277900,4,2,1636
38343,"40 Clovewood Cv, Humboldt, TN 38343","Humboldt, TN 38343",Pending,230000,3,2,1283
38343,"Hunters Ridge Dr Lot 48, Humboldt, TN 38343","Humboldt, TN 38343",Pending,191000,4,2,1451
