Address1,Address2,Availability,Price,Beds,Baths,Sqft
"621 S Fulton St, Hope, AR 71801","Hope, AR 71801",For Sale,38000,2,1,1280
"1344 and 1352 N Chickadee Ave, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,389000,,,2260
"201 Owens St, Houston, TX 77029","Houston, TX 77029",For Sale,53900,,,
"1 Downing St SE, Rome, GA 30161","Rome, GA 30161",For Sale,285000,3,2,2050
"162 Pr # 3358, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,84900,3,2,1819
"946 W Colorado Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,220000,3,2,1916
"8122 Bingham Ridge Dr, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,120000,,,
"712 Lone Pine Dr, Berryville, AR 72616","Berryville, AR 72616",Pending,314900,3,2,2138
"5114 W Henderson St, Chicago, IL 60641","Chicago, IL 60641",Contingent,450000,3,2,1895
"317 W 14th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,73000,2,1,816
"John Ashley Dr, North Little Rock, AR 72114","North Little Rock, AR 72114",For Sale,69900,,,
"Fieldstone Dr Lot 20, Rome, GA 30161","Rome, GA 30161",For Sale,29900,,,
"2021 Country Club Ave, Fort Smith, AR 72901","Fort Smith, AR 72901",For Sale,280000,3,2,1561
"4332 N Keystone Ave Unit 2B, Chicago, IL 60641","Chicago, IL 60641",Contingent,147000,1,1,900
"784 Branch Ct Unit B, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,419900,3,3,2629
"2048 Long Point Trl, Sanford, NC 27332","Sanford, NC 27332",For Sale,31000,,,
"5026 Oaks Ln, Omaha, NE 68137","Omaha, NE 68137",Pending,260000,3,2.5,2072
"2002 W Main St, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,315000,3,3,
"136 Paseo Del Rio, Seguin, TX 78155","Seguin, TX 78155",For Sale,1995000,5,5.5,4948
"3610 Highway # 231N, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,597499,3,2,2858
"1307 Churchill St, Waldron, AR 72958","Waldron, AR 72958",For Sale,180000,3,2,1751
"125 Old Homeplace Dr, Wilkesboro, NC 28697","Wilkesboro, NC 28697",Pending,489900,3,2.5,
"5401 S Lake Dr, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,139500,2,2,1572
"Wellington Way, Rome, GA 30161","Rome, GA 30161",For Sale,29900,,,
"1 Stone Subdivision Clf Lot 1C, Albany, KY 42602","Albany, KY 42602",For Sale,23900,,,
"County Road 2250, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,135000,,,
"813 Bismark St, Seguin, TX 78155","Seguin, TX 78155",For Sale,299900,3,2,2346
"Stack Rd Lot 2, Monroe, NC 28112","Monroe, NC 28112",For Sale,49900,,,
"106 S Wynridge Way, Goodlettsville, TN 37072","Goodlettsville, TN 37072",Contingent,549900,3,2.5,2991
"20784 Audrey Ave, Warren, MI 48091","Warren, MI 48091",For Sale,42500,3,1,984
"128 W Gillis St Unit 11, Traverse City, MI 49684","Traverse City, MI 49684",Pending,410000,2,2,904
"3319 E 4th St, Russellville, AR 72802","Russellville, AR 72802",Pending,195500,3,2,1347
"S Fouch Rd, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,55555,,,
"43 0 Highway 82 South Lot 43 Lot 43, Shelbyville, TN 37160","Shelbyville, TN 37160",Contingent,21900,,,
"7475 Elliot Way, Cumming, GA 30040","Cumming, GA 30040",Pending,749000,5,4,4233
"407 E Franklin St, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,479900,4,4,5219
"102 Ridgewood Ln, Eufaula, AL 36027","Eufaula, AL 36027",For Sale,229500,3,2,2878
"541 Baker Ridge Rd, Sherman, TX 75090","Sherman, TX 75090",For Sale,14755000,,,
"61 Brittains Br, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,169500,,,
"1460 Poplar Trace Way NW, Corydon, IN 47112","Corydon, IN 47112",For Sale,359900,3,2,1374
"3005 Highway 29 N, Hope, AR 71801","Hope, AR 71801",For Sale,230000,,,
"N Deane Solomon Rd, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,4495000,,,
"5415 Shenandoah Ave, Jacksonville, FL 32254","Jacksonville, FL 32254",Pending,137500,3,2,1233
"3073 Laredo Dr, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,289900,3,2,1555
"Angling Way Lot 15, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,114900,,,
"Robin Hood Rd Lot Rome, Rome, GA 30161","Rome, GA 30161",For Sale,10000,,,
"5873 W Kennedy Dr, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,798000,4,3.5,3498
"12105 Oxford Landing Dr Unit 101, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,340665,2,2,1319
"377 County Road 540, Hanceville, AL 35077","Hanceville, AL 35077",Pending,120000,,,
"3011/3013 Angeles Dr, Waterloo, IA 50703","Waterloo, IA 50703",For Sale,244900,6,4,4400
"702 Ridgeway Dr, Enid, OK 73701","Enid, OK 73701",For Sale,95000,3,2,2061
"Campbell Rd W, Goodlettsville, TN 37072","Goodlettsville, TN 37072",For Sale,139900,,,
"5250 W Warner Ave, Chicago, IL 60641","Chicago, IL 60641",For Sale,399000,4,2,2000
"1224 N 16th St, Denison, IA 51442","Denison, IA 51442",For Sale,289900,3,2,1780
"1003 Abbey Ave, Monett, MO 65708","Monett, MO 65708",For Sale,245750,3,2,1475
"199 Macdonald St, Camilla, GA 31730","Camilla, GA 31730",For Sale,54900,3,1,1039
"3516 Out of Bounds Dr, Monroe, NC 28112","Monroe, NC 28112",Pending,115000,,,
"8517 Newman Dr, North Richland Hills, TX 76180","North Richland Hills, TX 76180",Contingent,599900,4,3,2888
"114 Shearer Wood Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,515000,3,2,1400
"921 S 2nd St, Norfolk, NE 68701","Norfolk, NE 68701",For Sale,195000,3,3,1028
"6617 Carston Ct, North Richland Hills, TX 76180","North Richland Hills, TX 76180",For Sale,635000,4,3,2915
"6807 Highway 71 N, Cove, AR 71937","Cove, AR 71937",For Sale,59800,,,
"1201 E Chicago St, Logansport, IN 46947","Logansport, IN 46947",Contingent,140000,2,1,1396
"The Callan Plan, Stonebridge Fairways CommunityMonroe, NC","Monroe, NC",For Sale,From529900,5,3.5,3945
"1468 Poplar Trace Way NW, Corydon, IN 47112","Corydon, IN 47112",For Sale,386900,4,3,2375
"7140 Shady Oak Ln, Cumming, GA 30040","Cumming, GA 30040",Pending,449900,4,3.5,3004
"The Wakefield Plan, Stonebridge Fairways CommunityMonroe, NC","Monroe, NC",For Sale,From505500,4,2.5,3518
"617 Jean St, Seguin, TX 78155","Seguin, TX 78155",For Sale,349800,4,2.5,2124
"1630 Willow Dr, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,362500,4,2,1978
"616 N Hickory St, North Little Rock, AR 72114","North Little Rock, AR 72114",For Sale,25000,3,1,927
"HAYDEN Plan, Bramblett Grove CommunityCumming, GA","Cumming, GA",For Sale,From471990,5,3,2511
"5805 S 115th Cir, Omaha, NE 68137","Omaha, NE 68137",Pending,265000,3,2,1158
"4105 Bismarck St, Vernon, TX 76384","Vernon, TX 76384",For Sale,240000,4,3,2297
"383 Chartres Ave Unit A, Springdale, AR 72764","Springdale, AR 72764",For Sale,425000,,,3056
"715 E Madison St, Washington, IA 52353","Washington, IA 52353",For Sale,152900,3,1,864
"Plan 1888, Woodside Farms CommunitySeguin, TX","Seguin, TX",For Sale,From272995,3,2,1888
"1708 Walnut St, Albertville, AL 35950","Albertville, AL 35950",For Sale,39900,,,
"Lot 135, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,174504,,,
"6814 Beechnut St, Dallas, TX 75237","Dallas, TX 75237",For Sale,310000,4,2,2095
