TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
60641,4821 W Cornelia Ave,"Chicago, IL 60641",Apartment,1975,3,1,1100
60641,4326 N Kedvale Ave Apt F,"Chicago, IL 60641",Townhome,2795,3,1.5,
60641,5301 W Newport Ave Unit 1R,"Chicago, IL 60641",Apartment,1450,2,1,750
60641,4338 N Milwaukee Ave,"Chicago, IL 60641",Apartment,995,Studio+,1,500
60641,3035 N Kilpatrick Ave Unit 1,"Chicago, IL 60641",House,2250,3,2,
60641,3816 N Long Ave,"Chicago, IL 60641",Apartment,1275,2,1,775
60641,5518 W Barry Ave,"Chicago, IL 60641",Apartment,1095,1,1,
60641,3019 N Keating Ave Unit 2,"Chicago, IL 60641",House,1250,2,1,1200
60641,4350 N Cicero Ave,"Chicago, IL 60641",Apartment,1450,1,1,650
60641,2958 N Pulaski Rd Unit 2,"Chicago, IL 60641",House,2400,3,1,1200
60641,4101 N Cicero Ave,"Chicago, IL 60641",Apartment,1425,2,1,650
60641,5065 W Pensacola Ave Unit 1,"Chicago, IL 60641",House,1700,2,1,
60641,4121 W Cullom Ave,"Chicago, IL 60641",Apartment,1295,1,1,
60641,4415 W Waveland Ave,"Chicago, IL 60641",House,4990,4,3.5,2000
60641,4900 W Berteau Ave Apt 2,"Chicago, IL 60641",Apartment,1950,3,1,
60641,3558 N Long Ave Unit 1W,"Chicago, IL 60641",Condo,2250,3,2.5,
60641,4300 W Montrose Ave Unit 2,"Chicago, IL 60641",Apartment,5000,5,2,2600
60641,4300 W Montrose Ave,"Chicago, IL 60641",Apartment,5000,5,2,2620
60641,4300 W Montrose Ave Unit 4,"Chicago, IL 60641",Apartment,5000,5,2,2600
60641,3450 N Lowell Ave Apt 1,"Chicago, IL 60641",Apartment,1725,3,1,
60641,4819-21 W Cornelia Ave Unit 4821-1,"Chicago, IL 60641",Apartment,1850,3,1,1000
60641,5025 W Berenice Ave Unit 2R,"Chicago, IL 60641",Apartment,1550,2,1,750
60641,3736 N Keeler Ave Unit 2,"Chicago, IL 60641",Apartment,2495,3,1,
60641,3320 N Leclaire Ave Unit 1N,"Chicago, IL 60641",Apartment,1750,3,1,
60641,4237 W Nelson St Unit 4237-2,"Chicago, IL 60641",Apartment,1240,2,1,
60641,2925 N Long Ave Unit AF2925-1,"Chicago, IL 60641",Apartment,1425,2,1,
60641,4230 W Nelson St Unit 4230-2,"Chicago, IL 60641",Apartment,1480,2,1,
60641,4819-21 W Cornelia Ave Unit 4819-1,"Chicago, IL 60641",Apartment,1550,2,1,
