Address1,Address2,Style,Price,Beds,Baths,Sqft
872 Boatlanding Rd Unit 111,"Bowling Green, KY 42101",Apartment,850,2,1,700
7 Brig Dean Rd,"Rogers, AR 72756",House,1990,3,2,1545
125 Tribble Gap Rd Apt 304,"Cumming, GA 30040",Condo,1800,2,2,1400
1701 S West End St,"Springdale, AR 72764",Apartment,875,1,1,600 - 692
2709 Meadow Isle Ln,"Dallas, TX 75237",House,1995,3,2,1878
705 Clifford St,"Center, TX 75935",Apartment,525,2,1,
2605 W Olive St,"Rogers, AR 72756",Apartment,850,1,1,900
2010 Chadwick Dr,"Jackson, MS 39204",Apartment,925,1,1,896
1108 8th Ave Unit 1,"Council Bluffs, IA 51501",Apartment,1250,2,1,700
1336 Dianne Dr,"Jackson, MS 39204",House,870,3,1,1137
3933 N Kostner Ave,"Chicago, IL 60641",Apartment,2150,2,1,
3810 S Thompson Ave Unit 32,"Springdale, AR 72764",House,900,2,1,
222 224 W Iowa,"Enid, OK 73701",Apartment,575,1,1,
806 N 34th St,"Council Bluffs, IA 51501",Apartment,1000,2,1,955
2532 Jersey Ct,"Bowling Green, KY 42101",Apartment,900,2,1,
51 Westwoods,"Amherst, OH 44001",Apartment,1575,4,2-Jan,
5625 Weddington Dr,"Cumming, GA 30040",Apartment,1650,3,3,
5301 W Newport Ave Unit 1R,"Chicago, IL 60641",Apartment,1450,2,1,750
8004 W Virginia Dr,"Dallas, TX 75237",Apartment,1228,3-Jan,1.5 - 2.5,809 - 1149
1625 Parkside Dr,"Bowling Green, KY 42101",Apartment,600,1,1,
2252 Hickory St,"Bowling Green, KY 42101",Apartment,1100,2,2,957
5141 141 W Roscoe Unit R1,"Chicago, IL 60641",Apartment,1395,2,1,850
44840 N Ridge Rd,"Amherst, OH 44001",House,1200,2,1,
4153 W Melrose Ave Unit 1E,"Chicago, IL 60641",Condo,3000,2,2,1380
4145 N Milwaukee Ave Unit 2,"Chicago, IL 60641",Apartment,2100,2,2,
1408 Christy Dr Apt C,"Springdale, AR 72764",Other,950,2,1.5,1088
2363 Foxridge Ct Apt 211,"Bowling Green, KY 42101",Apartment,1025,2,2,977
4255 W Addison St,"Chicago, IL 60641",Apartment,1050,1,1,
2300 W Persimmon St,"Rogers, AR 72756",Apartment,900,2,1,850
20 S 41st St,"Council Bluffs, IA 51501",Apartment,925,Studio,1,459
3714 Humber Ct,"Cumming, GA 30040",House,2455,4,2.5,2370
1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,980,1,1,546
3636 W Red Bird Ln,"Dallas, TX 75237",Condo/Townhome,1269,1,1,700
1249 Kentucky St,"Bowling Green, KY 42101",Apartment,900,2,1,
2985 N Oxford St,"Catawba County, NC 28610",Apartment,1048,4,2,1284
3320 N Leclaire Ave,"Chicago, IL 60641",Apartment,1995,3,1,950
3250 N Pulaski Rd Apt 309,"Chicago, IL 60641",House,1100,Studio,1,400
1555 Chestnut St,"Bowling Green, KY 42101",Apartment,650,1,1,350
3054 N Kolmar Ave,"Chicago, IL 60641",Apartment,1200,1,1,700 - 825
125 Bonaire Ave,"Bowling Green, KY 42101",Apartment,1000,2,2,1050
1805 Hospital Dr,"Jackson, MS 39204",Apartment,410,1,1,434
1010 S 36th St,"Council Bluffs, IA 51501",Apartment,875,2,1,700
211 E Circle Dr,"Broken Bow, OK 74728",House,2000,2,2,1086
500 N 7th St,"Rogers, AR 72756",Apartment,1100,2,1,952
4300 W Montrose Ave Unit 4,"Chicago, IL 60641",Apartment,5000,5,2,2600
6068 Louisville Rd Apt 20,"Bowling Green, KY 42101",Apartment,825,1,1,765
4820 W George St Unit G,"Chicago, IL 60641",House,1800,3,2,1200
1805 Hospital Dr,"Jackson, MS 39204",Apartment,820,3,2,1355
6002 Russellville Rd Apt 113,"Bowling Green, KY 42101",Apartment,825,1,1,695
4200 W Belmont Ave,"Chicago, IL 60641",Apartment,4725,4,3.5,2240
3810 S Thompson Ave Unit 39,"Springdale, AR 72764",House,1000,2,1,
6002 Russellville Rd # 513,"Bowling Green, KY 42101",Apartment,825,1,1,695
,,House,1250,1,1,
1906 E Pine Ave,"Enid, OK 73701",House,650,2,1,1018
Rochester Cir,"Springdale, AR 72764",Apartment,950,1,1,825
604 E Main St,"Bowling Green, KY 42101",Apartment,1200,4,1,
851 Fitzhugh Dr,"Traverse City, MI 49684",Apartment,950,1,1,550
1047 Garden Park Dr,"Jackson, MS 39204",House,1095,3,2,1909
6010 S Westmoreland Rd,"Dallas, TX 75237",Apartment,1738,2,2,1164
4179 W Belmont Ave Unit 4181-302,"Chicago, IL 60641",Apartment,3100,2,2,1362
429 Upper Stone Ave,"Bowling Green, KY 42101",Apartment,825,2,2,850
2175 Prospector Ct,"Bowling Green, KY 42101",Apartment,1100,2,2,980
2363 Foxridge Ct Apt 823,"Bowling Green, KY 42101",Apartment,1025,2,2,977
1701 S West End St,"Springdale, AR 72764",Apartment,825,1,1,600 - 692
4497 Wal Wayunit A Vly Unit 4497A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
Avenue P Unit 1,"Council Bluffs, IA 51501",Apartment,995,1,1,
1414 S Powell St Apt 203,"Springdale, AR 72764",Condo,695,1,1,400
726 E Emma Ave,"Springdale, AR 72764",Apartment,995,1,1,554
5039 W Eddy St Apt 2,"Chicago, IL 60641",Apartment,1800,3,1,
4155 W Roscoe St Apt 1R,"Chicago, IL 60641",Apartment,1450,2,1,900
1235 Chesterdale Dr,"Cincinnati, OH 45246",Apartment,1422,3,1.5,1160
4485 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1300
260 Walnut Creek Dr Apt A06,"Bowling Green, KY 42101",Apartment,875,2,2,936
5115 W Montrose Ave Unit 4A,"Chicago, IL 60641",Apartment,1250,1,1,720
222 222 and 224 W Iowa,"Enid, OK 73701",Apartment,575,1,1,
1315 Avenue I,"Council Bluffs, IA 51501",House,900,2,1,
4927 Wade Valley Way,"Cumming, GA 30040",House,2245,3,2.5,2190
4952 W Berteau Ave Unit 2W,"Chicago, IL 60641",Apartment,1275,1,1,
