TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
66106,"5435 Oliver St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,280000.0,3.0,3.0,1639.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"3301 Hagemann St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,190000.0,3.0,2.0,1396.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"5145 Alma St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,175000.0,3.0,1.0,840.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1722 S 52nd Ter, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,250000.0,4.0,2.0,1400.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2629 S 27th St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,180000.0,3.0,1.0,1200.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2910 S 38th St, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,225000.0,2.0,2.0,874.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"3115 S 34th St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,159900.0,4.0,1.0,1072.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2530 S 42nd St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,255000.0,3.0,2.0,1042.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"3627 Dover St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,225000.0,3.0,1.5,875.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2428 S 47th Dr, Kansas City, KS 66106","Kansas City, KS 66106",Pending,175000.0,3.0,1.0,1152.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"3028 S 46th Ter, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,195000.0,3.0,1.0,1304.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
