TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft,City,State,Zip
60641,4177 W Belmont Ave Unit 2,"Chicago, IL 60641",Condo,2500,2,2,,Chicago,IL,60641
60641,3153 N Tripp Ave Unit 205,"Chicago, IL 60641",Condo,2700,2,2,,Chicago,IL,60641
60641,5425 W Montrose Ave Unit 5425S3,"Chicago, IL 60641",Apartment,1250,1,1,,Chicago,IL,60641
60641,3941 N Keeler Ave Unit 3941-404,"Chicago, IL 60641",Apartment,1855,1,1,,Chicago,IL,60641
60641,4022 W Montrose Ave Unit St,"Chicago, IL 60641",Apartment,2750,Studio,2,,Chicago,IL,60641
60641,4250 W Nelson St Unit 4250-2,"Chicago, IL 60641",Apartment,1070,2,1,,Chicago,IL,60641
60641,4254 W Nelson St Unit 4254-1,"Chicago, IL 60641",Apartment,1375,2,1,,Chicago,IL,60641
60641,4001 W Monttrose Ave Unit St,"Chicago, IL 60641",Apartment,4400,Studio,2,,Chicago,IL,60641
60641,4820 W George St Unit G,"Chicago, IL 60641",House,1800,3,2,1200.0,Chicago,IL,60641
60641,5141 W Roscoe St Unit 1R,"Chicago, IL 60641",House,1395,2,1,850.0,Chicago,IL,60641
60641,2923 N Long Ave Unit AF2923-2,"Chicago, IL 60641",Apartment,1350,2,1,,Chicago,IL,60641
60641,4244 W Nelson St Unit 4244-2,"Chicago, IL 60641",Apartment,1600,2,1,,Chicago,IL,60641
60641,4903 W Cullom Ave Unit 4903-3,"Chicago, IL 60641",Apartment,1500,2,1,,Chicago,IL,60641
60641,4819-21 W Cornelia Ave Unit 4819-1,"Chicago, IL 60641",Apartment,1775,2,1,,Chicago,IL,60641
60641,3243 N Lockwood Ave Unit 2,"Chicago, IL 60641",Apartment,875,Studio,1,,Chicago,IL,60641
60641,4263 W Nelson St Unit 4263-1,"Chicago, IL 60641",Apartment,1600,2,1,,Chicago,IL,60641
60641,3250 N Pulaski Rd Apt 318,"Chicago, IL 60641",Apartment,1100,Studio,1,,Chicago,IL,60641
60641,4825 W Oakdale Ave Unit 2,"Chicago, IL 60641",House,2600,3,1,1500.0,Chicago,IL,60641
60641,5201 W Cullom Ave Apt 1,"Chicago, IL 60641",Apartment,2600,3,2,,Chicago,IL,60641
60641,5201 W Cullom Ave Apt 2,"Chicago, IL 60641",Apartment,2650,3,2,,Chicago,IL,60641
60641,5201 W Cullom Ave Apt 3,"Chicago, IL 60641",Apartment,2700,3,2,,Chicago,IL,60641
60641,3450 N Lowell Ave Apt 1,"Chicago, IL 60641",Apartment,1725,3,1,,Chicago,IL,60641
60641,4025 W Melrose St,"Chicago, IL 60641",Apartment,1175,1,1,,Chicago,IL,60641
60641,5257 W Nelson Ave,"Chicago, IL 60641",Apartment,1225,1,1,,Chicago,IL,60641
60641,4121 W Cullom Ave,"Chicago, IL 60641",Apartment,1280,1,1,,Chicago,IL,60641
60641,4121 W Cullom Ave,"Chicago, IL 60641",Apartment,1295,1,1,,Chicago,IL,60641
60641,4154 W Berteau Ave Unit B,"Chicago, IL 60641",Condo,3600,3,2.5,,Chicago,IL,60641
60641,4112 N Kedvale Ave Apt Ge,"Chicago, IL 60641",Apartment,1395,1,1,700.0,Chicago,IL,60641
60641,4131 W Berteau Ave Apt 2,"Chicago, IL 60641",Apartment,1675,2,1,1250.0,Chicago,IL,60641
60641,4300 W Montrose Ave Unit 3,"Chicago, IL 60641",Apartment,5000,5,2,2620.0,Chicago,IL,60641
60641,4300 W Montrose Ave Unit 4,"Chicago, IL 60641",Apartment,5000,5,2,2600.0,Chicago,IL,60641
60641,2944 N Laramie Ave Apt 2,"Chicago, IL 60641",Apartment,1300,1,1,1000.0,Chicago,IL,60641
