TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip
44001,"1006 Apple Orchard Ln, Amherst, OH 44001","Amherst, OH 44001",For Sale,349900.0,3.0,2.0,2884.0,Amherst,OH,44001
44001,"350 Quarry Lakes Dr, Amherst, OH 44001","Amherst, OH 44001",For Sale,274900.0,2.0,2.0,1702.0,Amherst,OH,44001
44001,"114 Idlewood Dr, Amherst, OH 44001","Amherst, OH 44001",For Sale,335000.0,4.0,3.0,2696.0,Amherst,OH,44001
44001,"707 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,353509.0,3.0,2.5,1790.0,Amherst,OH,44001
44001,"172 N Lake St, Amherst, OH 44001","Amherst, OH 44001",For Sale,268000.0,4.0,2.0,2273.0,Amherst,OH,44001
44001,"103 Eagle Cir, Amherst, OH 44001","Amherst, OH 44001",For Sale,279990.0,3.0,2.0,1365.0,Amherst,OH,44001
44001,"704 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,356458.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"702 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,348555.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"756 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,321960.0,3.0,2.0,1334.0,Amherst,OH,44001
44001,"722 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,309201.0,3.0,2.0,1334.0,Amherst,OH,44001
44001,"106 Preserve Cir, Amherst, OH 44001","Amherst, OH 44001",For Sale,279999.0,4.0,2.5,1680.0,Amherst,OH,44001
44001,"105 Northwood Hollow Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,319900.0,3.0,2.0,2204.0,Amherst,OH,44001
44001,"7191 Baumhart Rd, Amherst, OH 44001","Amherst, OH 44001",For Sale,725000.0,4.0,4.0,3942.0,Amherst,OH,44001
44001,"116 Foresthill Dr, Amherst, OH 44001","Amherst, OH 44001",For Sale,248000.0,4.0,1.5,1841.0,Amherst,OH,44001
44001,"596 Maple Creek Dr, Amherst, OH 44001","Amherst, OH 44001",For Sale,299000.0,4.0,3.5,1701.0,Amherst,OH,44001
44001,"151 Charles Ave, Amherst, OH 44001","Amherst, OH 44001",Pending,399900.0,4.0,2.5,2188.0,Amherst,OH,44001
44001,"757 W Martin Ave, Amherst, OH 44001","Amherst, OH 44001",Contingent,255000.0,4.0,3.0,2016.0,Amherst,OH,44001
44001,"392 Ambleside Way, Amherst, OH 44001","Amherst, OH 44001",Pending,265000.0,3.0,3.5,2154.0,Amherst,OH,44001
44001,"195 Ravenglass Blvd, Amherst, OH 44001","Amherst, OH 44001",For Sale,385000.0,4.0,2.5,2941.0,Amherst,OH,44001
44001,"139 Axtel St, Amherst, OH 44001","Amherst, OH 44001",Contingent,174900.0,3.0,1.5,1301.0,Amherst,OH,44001
44001,"1246 Park Ave, Amherst, OH 44001","Amherst, OH 44001",For Sale,1100000.0,4.0,3.5,3361.0,Amherst,OH,44001
44001,"55 Hume Hill Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,219900.0,3.0,2.0,2440.0,Amherst,OH,44001
44001,"78 Caesars Cir, Amherst, OH 44001","Amherst, OH 44001",Pending,74900.0,3.0,2.0,1792.0,Amherst,OH,44001
44001,"45290 N Ridge Rd, Amherst, OH 44001","Amherst, OH 44001",Contingent,229900.0,3.0,1.5,2592.0,Amherst,OH,44001
44001,"710 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",For Sale,348990.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"102 Eagle Cir, Amherst, OH 44001","Amherst, OH 44001",For Sale,359999.0,3.0,2.0,1560.0,Amherst,OH,44001
44001,"7179 Deer Run Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,250000.0,4.0,2.0,2142.0,Amherst,OH,44001
44001,"131 Springvale Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,250000.0,3.0,2.0,1352.0,Amherst,OH,44001
44001,"619 Autumn Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,240000.0,3.0,2.0,1520.0,Amherst,OH,44001
44001,"1011 N Main St, Amherst, OH 44001","Amherst, OH 44001",Pending,140000.0,3.0,1.5,1613.0,Amherst,OH,44001
44001,"45320 N Ridge Rd, Amherst, OH 44001","Amherst, OH 44001",Contingent,159900.0,3.0,1.5,1662.0,Amherst,OH,44001
44001,"7200 Hidden Glen Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,279500.0,4.0,2.0,2264.0,Amherst,OH,44001
44001,"609 Sunrise Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,250000.0,4.0,1.5,1752.0,Amherst,OH,44001
44001,"207 Rustic Hill Ln, Amherst, OH 44001","Amherst, OH 44001",Pending,181000.0,3.0,1.0,1232.0,Amherst,OH,44001
44001,"806 Valley Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,299900.0,4.0,3.5,3064.0,Amherst,OH,44001
44001,"331 Deepwood Ln, Amherst, OH 44001","Amherst, OH 44001",Pending,275000.0,3.0,2.5,1712.0,Amherst,OH,44001
44001,"731 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",Pending,274990.0,2.0,2.0,1222.0,Amherst,OH,44001
44001,"120 Springvale Dr, Amherst, OH 44001","Amherst, OH 44001",Pending,250000.0,3.0,2.5,1440.0,Amherst,OH,44001
44001,"749 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",Pending,321686.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"709 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",Pending,345990.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"751 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",Pending,324960.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"720 Hampshire Ct, Amherst, OH 44001","Amherst, OH 44001",Pending,348990.0,3.0,2.0,1636.0,Amherst,OH,44001
44001,"390 N Lake St, Amherst, OH 44001","Amherst, OH 44001",Contingent,179900.0,3.0,2.0,1148.0,Amherst,OH,44001
72764,"17762 Bryant Blvd, Springdale, AR 72764","Springdale, AR 72764",For Sale,555000.0,3.0,3.0,2523.0,Springdale,AR,72764
72764,"17353 Pleasure Heights Rd, Springdale, AR 72764","Springdale, AR 72764",For Sale,345000.0,3.0,3.0,2254.0,Springdale,AR,72764
72764,"1106 Rhodes Ave, Springdale, AR 72764","Springdale, AR 72764",For Sale,199900.0,2.0,1.0,1026.0,Springdale,AR,72764
72764,"113 San Jose Dr, Springdale, AR 72764","Springdale, AR 72764",For Sale,499000.0,3.0,3.0,2700.0,Springdale,AR,72764
72764,"1707 Oxford Pl, Springdale, AR 72764","Springdale, AR 72764",For Sale,265000.0,3.0,2.0,1466.0,Springdale,AR,72764
72764,"17704 Matthew Way, Springdale, AR 72764","Springdale, AR 72764",For Sale,574000.0,4.0,3.0,2693.0,Springdale,AR,72764
72764,"18192 Broadview Dr, Springdale, AR 72764","Springdale, AR 72764",For Sale,245000.0,2.0,2.0,1500.0,Springdale,AR,72764
72764,"960 Tamarack St, Springdale, AR 72764","Springdale, AR 72764",Pending,199900.0,2.0,1.0,832.0,Springdale,AR,72764
72764,"203 Suttle Dr, Springdale, AR 72764","Springdale, AR 72764",For Sale,445000.0,4.0,3.5,2853.0,Springdale,AR,72764
72764,"22684 Raymond St, Springdale, AR 72764","Springdale, AR 72764",For Sale,520000.0,3.0,2.0,2033.0,Springdale,AR,72764
72764,"2499 E Tulip Tree Dr, Springdale, AR 72764","Springdale, AR 72764",For Sale,499900.0,3.0,3.0,4014.0,Springdale,AR,72764
72764,"203 Chantilly Ave, Springdale, AR 72764","Springdale, AR 72764",For Sale,349000.0,3.0,2.0,1942.0,Springdale,AR,72764
72764,"407 Mountain View Ave, Springdale, AR 72764","Springdale, AR 72764",For Sale,150000.0,2.0,1.0,794.0,Springdale,AR,72764
72764,"3942 E Monitor Rd, Springdale, AR 72764","Springdale, AR 72764",Pending,575000.0,,,2389.0,Springdale,AR,72764
72764,"1881 Willow Ridge Ave, Springdale, AR 72764","Springdale, AR 72764",Pending,315900.0,4.0,2.0,1743.0,Springdale,AR,72764
72764,"22682 War Eagle Rd, Springdale, AR 72764","Springdale, AR 72764",For Sale,525000.0,3.0,2.5,4380.0,Springdale,AR,72764
72764,"362 Chip Dr, Springdale, AR 72764","Springdale, AR 72764",For Sale,285000.0,3.0,2.0,1700.0,Springdale,AR,72764
72764,"1617 N Scott Hollow Rd, Springdale, AR 72764","Springdale, AR 72764",For Sale,375000.0,3.0,1.5,1704.0,Springdale,AR,72764
72764,"20338 Sonora Acres Rd, Springdale, AR 72764","Springdale, AR 72764",For Sale,380000.0,3.0,2.0,2012.0,Springdale,AR,72764
72764,"2671 Orchard St, Springdale, AR 72764","Springdale, AR 72764",Pending,285000.0,4.0,2.0,1906.0,Springdale,AR,72764
72764,"22716 Raymond St, Springdale, AR 72764","Springdale, AR 72764",For Sale,495000.0,3.0,2.0,1586.0,Springdale,AR,72764
72764,"710 Lyon Loop, Springdale, AR 72764","Springdale, AR 72764",For Sale,465000.0,4.0,3.0,2347.0,Springdale,AR,72764
72764,"2900 S Morlan Ave, Springdale, AR 72764","Springdale, AR 72764",For Sale,369500.0,4.0,3.0,2009.0,Springdale,AR,72764
72764,"424 E Velma Ave, Springdale, AR 72764","Springdale, AR 72764",For Sale,92700.0,1.0,1.0,504.0,Springdale,AR,72764
72764,"501 Park St, Springdale, AR 72764","Springdale, AR 72764",For Sale,177000.0,3.0,1.0,936.0,Springdale,AR,72764
